City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,282.51,90,100,7.98,CL,1699890579
1,gueltat zemmour,-41.8697,-73.8203,282.51,90,100,7.98,CL,1699890579
2,wailua homesteads,22.0669,-159.378,297.59,77,40,7.72,US,1699890579
3,natal,-5.795,-35.2094,304.51,62,40,7.72,BR,1699890579
4,abepura,-2.6333,140.5833,299.6,83,20,2.57,ID,1699890580
5,hawaiian paradise park,19.5933,-154.9731,294.28,93,75,3.09,US,1699890580
6,laojunmiao,39.8333,97.7333,274.1,35,3,1.52,CN,1699890580
7,praia da vitoria,38.7333,-27.0667,291.29,94,20,4.12,PT,1699890580
8,santa ana,33.7456,-117.8678,296.47,44,40,1.54,US,1699890415
9,bredasdorp,-34.5322,20.0403,291.42,63,69,8.63,ZA,1699890580
10,taiohae,-34.5322,20.0403,291.42,63,69,8.63,ZA,1699890580
11,blackmans bay,-43.0167,147.3167,285.22,71,91,0.45,AU,1699890581
12,albany,42.6001,-73.9662,276.93,69,51,0.89,US,1699890391
13,zelenogorsk,56.1147,94.5861,274.99,79,98,6.34,RU,1699890581
14,hamilton,39.1834,-84.5333,287.4,57,20,2.57,US,1699890492
15,mount pearl,47.5166,-52.7813,273.79,83,100,6.17,CA,1699890581
16,najaf,31.9985,44.3398,299.03,34,59,2.57,IQ,1699890582
17,stanley,54.868,-1.6985,282.44,87,75,9.26,GB,1699890582
18,ushuaia,-54.8,-68.3,280.94,70,100,12.35,AR,1699890406
19,arraial do cabo,-22.9661,-42.0278,306.13,66,0,5.66,BR,1699890582
20,waitangi,-43.9535,-176.5597,286.38,94,24,2.68,NZ,1699890582
21,keflavik,64.0049,-22.5624,279.1,56,0,7.2,IS,1699890582
22,adamstown,-25.066,-130.1015,295.84,86,85,8.55,PN,1699890583
23,puerto natales,-51.7236,-72.4875,279.4,52,40,8.23,CL,1699890583
24,sao joao evangelista,-18.5478,-42.7633,309.59,23,3,2.29,BR,1699890583
25,novhorodka,48.3651,32.6578,279.97,66,34,2.77,UA,1699890583
26,jamestown,42.097,-79.2353,283.16,51,83,2.24,US,1699890344
27,nikolayevsk-on-amure,53.1406,140.73,261.22,99,84,1.89,RU,1699890584
28,hilo,19.7297,-155.09,295.53,94,75,3.09,US,1699890584
29,iqaluit,63.7506,-68.5145,255.2,70,20,2.06,CA,1699890584
30,rongelap,11.1635,166.8941,301.04,82,80,9.31,MH,1699890584
31,ribeira grande,38.5167,-28.7,291.37,82,75,2.68,PT,1699890584
32,kodiak,57.79,-152.4072,280.88,71,100,5.66,US,1699890584
33,acarau,-2.8856,-40.12,305.08,54,73,8.19,BR,1699890585
34,linton,39.0348,-87.1658,287.04,40,20,3.1,US,1699890585
35,bethel,41.3712,-73.414,279.01,61,0,0.45,US,1699890343
36,kapa'a,22.0752,-159.319,298.33,77,40,7.72,US,1699890585
37,the pas,53.8251,-101.2541,270.16,93,0,1.54,CA,1699890585
38,port-aux-francais,-49.35,70.2167,280.19,97,100,14.97,TF,1699890585
39,papatowai,-46.5619,169.4708,282.93,95,99,1.38,NZ,1699890586
40,west island,-12.1568,96.8225,299.14,83,40,4.12,CC,1699890586
41,kusheriki,10.5328,6.4422,307.17,18,52,2.39,NG,1699890586
42,grytviken,-54.2811,-36.5092,276.02,96,100,1.91,GS,1699890586
